travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
2.35,0,Human,0,0,0,70,-2.35,"-2.2712010067824204,-2.9950520128086104,-2.993083567818033,-1.8974402974000566"
2.283333333333333,1,Human,3,1,1,569,-2.283333333333333,"-1.2329461337014982,-1.4850509533825877,-1.7267883779321151,-2.3758585032421404"
3.5166666666666666,2,Human,3,2,2,1548,-3.5166666666666666,"-1.546423070332903,-2.141279768396928,-2.903489303119576,-3.5514726902370097"
3.6166666666666667,3,Human,1,3,3,850,-3.6166666666666667,"-1.8879690893649,-3.516428285809737,-2.6068819387373816,-3.049884999572475"
3.3666666666666667,4,Human,1,4,4,1175,-3.3666666666666667,"-2.349280496122614,-3.240934617313648,-2.921812759760055,-2.8956342687354137"
2.2666666666666666,5,Human,2,5,5,154,-2.2666666666666666,"-1.3689024171686046,-1.5467168339324269,-2.317581038010264,-2.228635045711785"
4.8,6,Human,3,6,6,637,-4.8,"-5.022362013037678,-5.348781051762886,-5.186460106972903,-4.705214507579462"
5.566666666666666,7,Human,3,7,7,1679,-5.566666666666666,"-4.638214473449626,-4.8156336612589765,-4.757492518388361,-5.425693804486159"
5.233333333333333,8,Human,0,8,8,271,-5.233333333333333,"-5.056135695467283,-4.7701240326628485,-5.098557642451323,-5.702780916760069"
6.066666666666666,9,Human,1,9,9,131,-6.066666666666666,"-3.7102434070526025,-5.8982938801560465,-3.6709101616916002,-3.744728656911045"
3.75,10,Human,2,10,10,360,-3.75,"-3.628883527906115,-3.6230070079485444,-3.67601727976327,-3.67489568001439"
4.566666666666666,11,Human,2,11,11,1541,-4.566666666666666,"-2.4406776722105983,-2.8353692359135363,-4.433996959311556,-3.359721465320511"
4.116666666666666,12,Human,2,12,12,1197,-4.116666666666666,"-3.6600125540025035,-3.3340138854107844,-4.027067725357885,-3.512245565081713"
2.95,13,Human,2,13,13,1317,-2.95,"-2.7139517850641535,-2.936852021462376,-2.954648487705815,-2.9184109705011196"
2.933333333333333,14,Human,3,14,5,1526,-2.933333333333333,"-2.3594134222663867,-2.667141498424474,-2.797585605150205,-2.854085451162267"
2.0833333333333335,15,Human,2,15,5,852,-2.0833333333333335,"-1.7526175665525203,-2.0700951393887284,-2.095254572072321,-1.9083112947679473"
4.516666666666667,16,Human,3,16,14,595,-4.516666666666667,"-4.139441482201644,-3.7628377496144743,-4.1997793998473725,-4.5806225312267275"
4.616666666666666,17,Human,1,17,15,1745,-4.616666666666666,"-3.503516554799863,-4.516684707477722,-3.455795294832131,-4.403803460165378"
5.766666666666667,18,Human,0,18,16,257,-5.766666666666667,"-5.9261761785475375,-5.40325034100738,-5.2487029830666385,-5.196464380624742"
6.866666666666666,19,Human,2,19,17,476,-6.866666666666666,"-6.136711727726321,-6.20488853653861,-6.636819233190638,-6.407030919397885"
